Escadrone;No;No;France;Aerospace & Defence;206.5;45.3;4295816;1401800;10;4;2014
Exploitation Forestière Chadelat;No;No;France;Agriculture Forestry & Fishing;1094.3;128.6;146894677;12299800;42;42;1978
Nova Rent;Yes;No;Lithuania;Agriculture Forestry & Fishing;360.5;66.4;15503968;3366978;42;26;2016
Beesharing;No;No;Germany;Agriculture Forestry & Fishing;356.4;65.9;1792602;392782;14;17;2016
Agricola Puccia;No;No;Italy;Agriculture Forestry & Fishing;155.4;36.7;16691525;6535533;35;26;2011
Dagsmejan;No;No;Switzerland;Apparel & Fashion;2310.3;188.9;9522659;363824;24;6;2016
Non-Stop Dogwear;No;No;Norway;Apparel & Fashion;281.0;56.2;13685887;3632754;32;12;2009
GSP (Bonjour François);No;No;France;Apparel & Fashion;262.2;53.6;2977281;822078;31;6;2013
SunGod;No;No;UK;Apparel & Fashion;226.9;48.4;6091940;1744442;13;6;2013
GDA;Yes;No;Italy;Apparel & Fashion;216.3;46.8;26294095;8312769;273;128;2008
Café du Cycliste;No;No;France;Apparel & Fashion;212.4;46.2;10641051;3405790;28;16;2009
nto;No;No;UK;Automotive;8079.0;334.1;15048654;172252;113;13;2017
Driveto;No;No;Czech Republic;Automotive;2049.0;178.0;8060112;363050;30;17;2016
Spotawheel;Yes;Yes;Greece;Automotive;643.6;95.2;34653332;4660181;254;48;2016
Riviera Motori;No;No;Italy;Automotive;630.0;94.0;2290338;313758;3;2;2018
Jimbu;No;No;Germany;Automotive;620.3;93.1;3354505;465712;17;3;2012
Podium Engineering;Yes;Yes;Italy;Automotive;509.0;82.6;29098872;4778250;44;19;2011
GetYourCar;No;No;Germany;Automotive;440.3;75.5;2534000;469000;11;3;2016
Bräutigam Carbon Fiber Works;Yes;No;Germany;Automotive;437.8;75.2;5097214;947831;38;15;2016
Montbazens Auto Service;No;No;France;Automotive;382.7;69.0;2815902;583340;8;3;2013
Activate Group;No;No;UK;Automotive;317.4;61.0;229407028;51458914;300;102;2015
Soletek;No;No;Germany;Automotive;298.1;58.5;15686000;3940000;48;26;2016
Centro Auto Ricambi;No;No;Italy;Automotive;257.8;53.0;5883264;1644222;7;5;2011
APF Autoparts;No;No;Belgium;Automotive;251.1;52.0;72224000;20569000;90;50;1999
Mevas Auto;Yes;No;Romania;Automotive;237.8;50.0;2860536;900686;30;20;2003
Tratega;No;No;Germany;Automotive;231.5;49.1;24901494;7511222;6;4;2017
Zanasi Group;No;No;Italy;Automotive;220.7;47.5;50805404;15841419;127;73;1964
Paddock Motors;No;No;Spain;Automotive;216.8;46.9;7772416;2453280;24;14;1965
MP-Auto;No;No;Italy;Automotive;198.6;44.0;4624439;1548708;3;1;2017
Autostandar 2.0;No;No;Italy;Automotive;196.1;43.6;21115054;7131560;16;5;2014
Sportwagengalerie Köhler & Fehrle;No;No;Germany;Automotive;194.7;43.4;5260000;1785000;3;3;2016
Karnetic;Yes;No;UK;Automotive;190.9;42.8;10403639;3348154;9;7;2014
Phobos;Yes;Yes;Slovakia;Automotive;186.4;42.0;5093380;1778149;12;9;1992
Finauto;Yes;No;Italy;Automotive;170.0;39.2;14905813;5520886;9;6;1977
Hammonia Oleo;No;No;Germany;Chemicals;897.2;115.2;12771405;1280737;10;7;2017
Erbagil;Yes;No;Italy;Chemicals;335.8;63.3;7489323;1718564;9;5;2009
Nanoprom Chemicals;Yes;No;Italy;Chemicals;334.8;63.2;2742362;630724;6;6;2013
Agenzia Chimica Italiana;No;No;Italy;Chemicals;329.9;62.6;20561049;4783008;6;3;2011
KLG Liquida;Yes;No;Germany;Chemicals;328.6;62.4;7230000;1687000;43;24;2013
Mcule.Com;No;No;Hungary;Chemicals;315.9;60.8;2859362;790858;22;15;2011
DMR Group;Yes;No;Poland;Chemicals;168.1;38.9;6211510;2477002;8;8;2013
T.O.M.;No;No;Germany;Construction & Engineering;2857.5;209.2;7098000;240000;55;3;2018
Renavitas;No;No;Italy;Construction & Engineering;2412.1;192.9;4328480;172304;6;2;2012
Edilenergia;No;No;Italy;Construction & Engineering;2101.1;180.3;5241299;238123;25;9;2018
Archingest;Yes;Yes;Italy;Construction & Engineering;1918.4;172.3;43696761;2164962;7;3;2005
MPE Ausbau;No;No;Germany;Construction & Engineering;1562.4;155.2;3387868;203790;17;2;2018
Alternativa Impianti;No;No;Italy;Construction & Engineering;1541.8;154.2;2501772;152381;15;10;2013
FT-Vilstal;No;No;Germany;Construction & Engineering;1379.7;145.5;9878752;667603;24;13;2017
Isodeco;Yes;No;France;Construction & Engineering;1220.4;136.4;5141294;389372;12;10;2016
OC Bau;No;No;Germany;Construction & Engineering;1045.4;125.4;6631918;579024;51;7;2018
Great Building;No;No;Italy;Construction & Engineering;889.9;114.7;2005866;202639;23;3;2015
MK Color;No;No;Germany;Construction & Engineering;848.4;111.7;4172159;439928;46;8;2017
MPFinance;No;No;Italy;Construction & Engineering;844.2;111.4;11709469;1240209;2;2;2012
Studio Eko’;Yes;No;Italy;Construction & Engineering;778.1;106.3;3996165;455098;6;2;2011
Politecna Europa;No;No;Italy;Construction & Engineering;727.2;102.2;2531652;306047;8;1;2003
Termo;No;No;Italy;Construction & Engineering;665.9;97.1;16277445;2125365;130;21;2014
Imprendiroma;No;No;Italy;Construction & Engineering;647.1;95.5;20510271;2745306;24;12;2008
Teicos Ue;No;No;Italy;Construction & Engineering;637.3;94.6;24239042;3287371;33;13;1995
Piper Homes;Yes;No;UK;Construction & Engineering;626.9;93.7;45816158;5901198;30;11;2015
Kanalexperten Reitz;No;No;Germany;Construction & Engineering;578.9;89.4;3622604;533566;20;6;2016
Isoterma;No;No;Italy;Construction & Engineering;554.3;87.0;30524022;4665137;21;13;2014
Revo Costruzioni;No;No;Italy;Construction & Engineering;488.4;80.5;5620784;955261;8;8;2011
Solaris and more;Yes;No;Germany;Construction & Engineering;474.6;79.1;7249606;1261590;44;8;2011
Iocoli;No;No;Italy;Construction & Engineering;459.4;77.5;3377386;603739;32;8;2008
Tarhanbau;Yes;No;Germany;Construction & Engineering;456.7;77.2;3479344;625000;25;15;2017
TSL;No;No;UK;Construction & Engineering;455.0;77.0;694891333;117221788;232;127;2002
Arredamenti Goti;No;No;Italy;Construction & Engineering;447.7;76.3;2153567;393224;15;14;1970
Gemco;Yes;No;Italy;Construction & Engineering;432.5;74.6;3935677;739146;7;1;2015
Domum-Bau;No;No;Germany;Construction & Engineering;430.5;74.4;4329720;816171;7;1;2017
Edil Panteghini;No;No;Italy;Construction & Engineering;428.4;74.2;3402603;643986;10;7;2013
Cladspray Solutions;Yes;No;UK;Construction & Engineering;424.9;73.8;3376884;602282;8;6;2013
Aconstruct;No;No;France;Construction & Engineering;411.7;72.3;66946804;13082033;38;15;2008
Infratech Bau;Yes;Yes;Germany;Construction & Engineering;391.0;70.0;64998000;13237000;76;62;2007
Tassikas Haustechnik;No;No;Germany;Construction & Engineering;383.0;69.0;2494782;516493;37;10;2016
